"","start","lon.s","lat.s","end","lon.e","lat.e","paths"
"1",3104,-73.96150225,40.72057658,312,-73.989111,40.722055,19.25
"2",406,-73.99595065,40.69512845,304,-74.01361706,40.70463334,16.6
"3",161,-73.99810231,40.72917025,293,-73.9907647,40.73028666,4.65
"4",373,-73.95381995,40.69331716,316,-74.00653609,40.70955958,26.8
"5",127,-74.00674436,40.73172428,150,-73.98085795,40.7208736,15.1666666666667
"6",440,-73.97282625,40.75255434,486,-73.98855723,40.7462009,11.5333333333333
"7",515,-73.99461843,40.76009437,281,-73.97371465,40.7643971,10.85
"8",311,-73.98802084,40.7172274,376,-74.00722156,40.70862144,13.2166666666667
"9",2023,-73.97031366,40.75968085,150,-73.98085795,40.7208736,22.1333333333333
"10",249,-74.0090009,40.71870987,3234,-73.9804315567017,40.7515936845111,21.65
"11",438,-73.98564945,40.72779126,3145,-73.95772073,40.77862688,30.7333333333333
"12",447,-73.9851615,40.76370739,3002,-74.015756,40.711512,26.2
"13",241,-73.97493121,40.68981035,518,-73.9734419,40.74780373,32.75
"14",3175,-73.98288594,40.77748046,466,-73.99144871,40.74395411,18.4333333333333
"15",311,-73.98802084,40.7172274,508,-73.99667444,40.76341379,28.8666666666667
"16",3162,-73.98093133,40.78339981,3170,-73.97283406,40.78499979,4.98333333333333
"17",285,-73.99074142,40.73454567,372,-73.958089,40.694528,30.1666666666667
"18",479,-73.9912551,40.76019252,385,-73.96603308,40.75797322,12.8666666666667
"19",453,-73.99915362,40.74475148,160,-73.978311,40.748238,13.25
"20",358,-74.00711384,40.73291553,217,-73.99383605,40.70277159,22.3333333333333
"21",392,-73.987167,40.695065,459,-74.007756,40.746745,25.4833333333333
"22",507,-73.97973776,40.73912601,128,-74.00297088,40.72710258,11.9833333333333
"23",529,-73.99098507,40.7575699,2021,-73.98859651,40.75929124,1.96666666666667
"24",2022,-73.959223,40.759107,403,-73.99069656,40.72502876,20.4833333333333
"25",3161,-73.9772853255272,40.7801839724239,3162,-73.98093133,40.78339981,3.88333333333333
"26",400,-73.98178024,40.71926081,532,-73.960876,40.710451,8.56666666666667
"27",498,-73.98808416,40.74854862,500,-73.98336183,40.76228826,9.68333333333333
"28",72,-73.99392888,40.76727216,2004,-74.004704,40.724399,21.7666666666667
"29",343,-73.96986848,40.69794,393,-73.97995466,40.72299208,23.7333333333333
"30",430,-73.98656928,40.7014851,2022,-73.95920622,40.75849116,33
"31",538,-73.976684,40.75666,412,-73.99422366,40.7158155,21.7666666666667
"32",354,-73.96223558,40.69363137,3044,-73.938475,40.6800105,13.7833333333333
"33",484,-73.98014437,40.75500254,151,-73.997249007225,40.722103786686,18.1
"34",3059,-73.939877,40.6933982,3073,-73.95441667,40.70691254,11.4666666666667
"35",414,-73.98765762,40.70281858,481,-73.96264403,40.71260486,18.5666666666667
"36",458,-74.005226,40.751396,305,-73.96724467,40.76095756,19.7666666666667
"37",491,-73.98602213,40.74096374,265,-73.99147535,40.72229346,14.6333333333333
"38",414,-73.98765762,40.70281858,383,-74.000271,40.735238,23.6666666666667
"39",3120,-73.96044,40.74161,312,-73.989111,40.722055,31.65
"40",434,-74.00366443,40.74317449,534,-74.0127234,40.70255065,18.6
"41",259,-74.01234218,40.70122128,151,-73.99720307,40.7218158,12.8166666666667
"42",3087,-73.95234386,40.71413311,461,-73.98205027,40.73587678,23.1833333333333
"43",315,-74.00670227,40.70355377,321,-73.98971773,40.69991755,21.5
"44",151,-73.99720307,40.7218158,291,-73.984844,40.713126,9.4
"45",174,-73.97738662,40.7381765,324,-73.981013,40.689888,29.9833333333333
"46",308,-73.99851193,40.71307916,281,-73.97371465,40.7643971,32.3833333333333
